Age,MonthlyCharge,Churned
55,60.3,0
52,45.55,0
65,45.59,0
58,54.86,0
52,60.75,0
69,63.1,0
70,56.21,0
65,63.17,0
30,67.19,0
48,51.86,0
51,45.13,0
44,48.19,0
54,61.68,0
28,65.03,0
53,49.28,0
43,68.46,0
64,51.11,0
32,57.32,0
68,49.34,0
57,63.42,0
37,63.67,0
50,63.76,0
39,40.29,0
32,69.61,0
42,66.99,0
63,46.36,0
61,64.49,0
56,57.42,0
38,68.75,0
57,57.99,0
57,52.68,0
48,64.72,0
32,53.25,0
60,51.79,0
62,56.77,0
61,68.62,0
49,54.81,0
57,67.49,0
28,57.29,0
51,45.71,0
65,67.45,0
31,65.89,0
40,62.89,0
33,54.78,0
55,48.52,0
33,41.45,0
37,42.92,0
47,56.53,0
42,55.16,0
40,62.19,0
44,55.76,0
33,67.39,0
33,41.91,0
62,48.37,0
52,48.54,0
31,48.87,0
38,57.32,0
60,53.53,0
37,90.39,1
60,48.49,0
31,44.62,0
51,43,0
28,53.09,0
57,41.89,0
66,92.65,1
54,50.24,0
61,62.81,0
53,61.89,0
70,45.55,0
39,59.57,0
53,80.89,1
64,44.71,0
59,81.96,1
46,51.26,0
30,48,0
48,48.75,0
37,68.01,0
30,58.72,0
42,84.64,1
39,54.84,0
70,51.81,0
62,68.42,0
27,48.51,0
32,48.15,0
33,67.31,0
36,43.53,0
47,63.66,0
38,62.36,0
45,57.95,0
52,45.11,0
43,46.4,0
39,61.24,0
70,66.81,0
37,67.68,0
50,94.63,1
69,43.11,0
29,65.73,0
25,53.79,0
55,79.34,1
64,58.41,0
61,56.41,0
59,42.16,0
55,68.32,0
35,59.45,0
61,63.59,0
28,41.9,0
35,55.58,0
27,49.47,0
63,53.72,0
48,45.06,0
36,64.34,0
59,50.84,0
53,54.72,0
66,41.69,0
46,43.04,0
28,51.41,0
47,69.08,0
51,54.25,0
65,43.39,0
28,51.61,0
26,47.58,0
62,67.26,0
50,62.75,0
64,66.18,0
32,48.66,0
69,69.94,0
33,60.92,0
60,56.51,0
38,40.91,0
44,63.46,0
67,47.1,0
36,68.61,0
62,43.4,0
35,57.32,0
67,66.43,0
57,49.65,0
58,49.12,0
54,57.23,0
40,53.21,0
66,49.96,0
51,62.92,0
28,55.16,0
63,49.71,0
49,58.62,0
36,49.93,0
70,49.82,0
39,60.53,0
55,64.96,0
47,44.64,0
46,45.3,0
67,56.53,0
36,55.43,0
28,48.3,0
34,41.04,0
33,52.57,0
34,51.2,0
25,41.18,0
33,44.05,0
37,68.72,0
62,48.69,0
66,40.59,0
29,45.81,0
47,62.68,0
42,64.14,0
61,65.21,0
46,51.64,0
68,58.33,0
61,61.71,0
43,55.02,0
44,62.02,0
36,59.63,0
36,65.25,0
55,40.06,0
55,67.29,0
35,57.77,0
46,65.23,0
70,53.89,0
50,61.63,0
30,40.11,0
61,61.58,0
45,48.56,0
40,48.17,0
65,51.29,0
40,67.36,0
55,41.22,0
36,62.15,0
52,41.62,0
29,54.16,0
62,84.21,1
41,46.31,0
57,52.62,0
34,80.01,1
39,56.06,0
53,43.73,0
59,68.43,0
65,64.53,0
53,57.3,0
35,87.1,1
27,69.19,0
39,66.92,0
